Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2102600,"Zoe's Tale (Old Man's War, #4)",John Scalzi,"Scalzi, John",,"=""0765316986""","=""9780765316981""",1,3.78,Tor Books,Hardcover,335,2008,2008,,2011/10/11,abandoned,abandoned (#3),abandoned,,,,0,0
9647532,"Fuzzy Nation (Fuzzy Sapiens, #7)",John Scalzi,"Scalzi, John",,"=""0765328542""","=""9780765328540""",5,4.15,Tor Books,Hardcover,303,2011,2011,2011/12/21,2011/12/17,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Ann Patchett, Téa Obreht","=""""","=""""",3,4.01,Plume,Paperback,129,2003,1945,,2011/12/17,,,read,,,,1,0
88071,"The Last Colony (Old Man's War, #3)",John Scalzi,"Scalzi, John",,"=""0765316978""","=""9780765316974""",4,4.10,Tor Books,Hardcover,320,2007,2007,2011/12/11,2011/10/11,,,read,,,,1,0
45252,"Pandora's Star (Commonwealth Saga, #1)",Peter F. Hamilton,"Hamilton, Peter F.",Marta García Martínez,"=""0345461622""","=""9780345461629""",0,4.23,Del Rey,Hardcover,768,2005,2004,,2011/12/11,to-read,to-read (#3),to-read,,,,0,0
239399,"The Ghost Brigades (Old Man's War, #2)",John Scalzi,"Scalzi, John",,"=""0765354063""","=""9780765354068""",4,4.12,Tom Doherty Associates,Mass Market Paperback,343,2007,2006,2011/12/07,2011/10/11,,,read,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith","=""0618391118""","=""9780618391110""",1,4.03,Houghton Mifflin Company,Hardcover,386,2004,1977,,2011/02/07,abandoned,abandoned (#1),abandoned,,,,0,0
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,3.97,Pocket Books,Mass Market Paperback,306,2002,1987,,2011/09/20,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",4,4.12,Scholastic Press,Hardcover,390,2010,2010,2011/09/14,2011/08/14,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",4,4.35,Scholastic Press,Hardcover,391,2009,2009,2011/09/12,2011/08/14,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.35,Scholastic Press,Hardcover,374,2008,2008,2011/09/11,2011/08/14,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,2011/09/05,2011/07/05,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",5,4.47,Scholastic Inc,Hardcover,309,2003,1997,2011/07/07,2011/07/05,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,2011/07/09,2011/07/05,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,547,2004,1999,2011/07/16,2011/07/05,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",5,4.50,Scholastic Inc.,Paperback,870,2004,2003,2011/08/25,2011/07/05,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",5,4.57,Scholastic,Paperback,734,2002,2000,2011/08/16,2011/07/05,,,read,,,,1,0
39662,Different Seasons,Stephen        King,"King, Stephen",,"=""0751514624""","=""9780751514629""",0,4.36,Warner Books,Mass Market Paperback,560,1995,1982,,2011/02/07,to-read,to-read (#2),to-read,,,,0,0
10131864,PayPal APIs: Up and Running: A Developer's Guide,Michael Balderas,"Balderas, Michael",,"=""1449396127""","=""9781449396121""",3,3.00,O'Reilly Media,Paperback,122,2011,2011,,2011/05/25,,,read,wasn't much more helpful than the documentation offered by PayPal,,,1,0
7082,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",Roger Zelazny,"=""""","=""""",4,4.09,Del Rey / Ballantine Books,Paperback,244,1996,1968,2011/05/20,2011/05/08,,,read,,,,1,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Maria Skibniewska, Francis Ledoux","=""0618346252""","=""9780618346257""",5,4.40,Houghton Mifflin Harcourt,Paperback,398,2003,1954,2011/02/01,2011/02/01,,,read,,,,1,0
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.58,Del Rey,Mass Market Paperback,404,2003,1955,2011/03/01,2011/02/07,,,read,,,,1,0
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",Peter S. Beagle,"=""0618346260""","=""9780618346264""",5,4.50,Houghton Mifflin,Paperback,322,1993,1954,2011/03/01,2011/02/07,,,read,,,,1,0
156723,Counter-Clock World,Philip K. Dick,"Dick, Philip K.",,"=""0375719334""","=""9780375719332""",3,3.55,Vintage,Paperback,218,2002,1967,2011/03/01,2011/03/29,,,read,,,,1,0
227463,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""""","=""""",0,4.00,W. W. Norton & Company,Paperback,192,1986,1962,,2011/02/07,to-read,to-read (#1),to-read,,,,0,0
6508233,His Robot Girlfriend,Wesley Allison,"Allison, Wesley",,"=""""","=""""",3,3.02,City of Amathar Press,ebook,115,2009,2009,2010/11/01,2011/02/01,,,read,,,,1,0
6755260,"Learning PHP, MySQL, and JavaScript: A Step-By-Step Guide to Creating Dynamic Websites",Robin Nixon,"Nixon, Robin",,"=""0596157134""","=""9780596157135""",4,3.88,O'Reilly Media,Paperback,528,2009,2009,2010/11/01,2011/02/05,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",5,4.30,Houghton Mifflin,Paperback,366,2002,1937,2011/02/01,2011/02/01,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",2,3.80,Back Bay Books,Paperback,277,2001,1951,2011/01/01,2011/02/01,,,read,,,,1,0
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0307347974""","=""9780307347978""",3,3.97,DeBolsillo,Mass Market Paperback,158,2004,1953,2011/01/01,2011/02/01,,,read,,,,1,0
8698,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,"Adams, Douglas",,"=""0330491237""","=""9780330491235""",4,4.08,Non Basic Stock Line,Paperback,167,2002,1984,2011/01/01,2011/02/03,,,read,,,,1,0
360,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",4,3.96,Ballantine / Del Rey / Fawcett / Ivy,Mass Market Paperback,240,2000,1992,2011/01/01,2011/02/01,,,read,,,,1,0
8694,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,"Adams, Douglas",,"=""0345418905""","=""9780345418906""",5,4.16,Random House Worlds,Paperback,224,1997,1982,2011/01/01,2011/02/01,,,read,,,,1,0
8695,"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.20,Del Rey,Paperback,250,2005,1980,2010/12/01,2011/02/01,,,read,,,,1,0
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,2010/12/01,2011/02/01,,,read,,,,1,0
