Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44034616,The Lost Causes of Bleak Creek,Rhett McLaughlin,"McLaughlin, Rhett","Link Neal, Lance   Rubin","=""1984822136""","=""9781984822130""",4,3.94,Crown,Hardcover,327,2019,2019,2019/12/18,2019/11/05,,,read,,,,1,0
40974159,Tears of the Silenced,Misty Griffin,"Griffin, Misty",,"=""""","=""""",4,4.28,Mango Media,Kindle Edition,384,2018,2014,2019/12/13,2019/12/10,,,read,,,,1,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Carlo Pagetti, Greg Bear","=""""","=""""",3,3.89,Signet Classics,Paperback,118,2002,1895,2019/12/10,2019/12/10,,,read,,,,1,0
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,"Adams, Douglas",,"=""0671742515""","=""9780671742515""",4,4.04,Pocket Books,Mass Market Paperback,307,1991,1988,,2018/09/12,,,read,,,,1,0
25569411,We Miss All the Great Parties,David  Hopkins,"Hopkins, David",,"=""1312709197""","=""9781312709195""",4,4.67,Lulu.com,Paperback,124,2015,2015,2019/12/07,2019/12/06,,,read,,,,1,0
18586487,"The Long Mars (The Long Earth, #3)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""0857521748""","=""9780857521743""",3,3.77,HarperCollins Publishers,Hardcover,353,2014,2014,2019/12/06,2019/11/29,,,read,,,,1,0
30956087,The Polygamist's Daughter,Anna LeBaron,"LeBaron, Anna",Leslie Wilson,"=""1496417550""","=""9781496417558""",4,3.64,Tyndale Momentum,Paperback,320,2017,2017,2019/12/06,2019/11/06,,,read,,,,1,0
25859268,"The Long Cosmos (The Long Earth, #5)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""0062297376""","=""9780062297372""",0,3.91,Harper,Hardcover,377,2016,2016,,2019/11/29,to-read,to-read (#20),to-read,,,,0,0
17167572,"The Long War (The Long Earth, #2)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""006206777X""","=""9780062067777""",4,3.65,HarperCollins Publishers,Hardcover,419,2013,2013,2019/11/29,2013/08/09,,,read,,,,1,0
51964,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""0765348276""","=""9780765348272""",4,4.23,Tor Books,Mass Market Paperback,318,2007,2005,2011/12/05,2011/10/11,,,read,,,,2,0
36687102,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",3,3.59,Mariner Books,Kindle Edition,290,2012,1962,2019/11/03,2013/08/01,,,read,,,,1,0
25666058,If at Birth You Don't Succeed: My Adventures with Disaster and Destiny,Zach Anner,"Anner, Zach",,"=""162779364X""","=""9781627793643""",4,4.03,Henry Holt and Co.,Hardcover,338,2016,2016,2019/11/07,2019/11/04,,,read,,,,1,0
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",0,4.03,RANDOM HOUSE TRADE,Hardcover,399,1996,1995,,2019/11/05,to-read,to-read (#19),to-read,,,,0,0
40792913,"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,"Morgan, Richard K.",,"=""""","=""""",0,4.04,Del Rey,Kindle Edition,544,2018,2002,,2019/11/05,to-read,to-read (#18),to-read,,,,0,0
29540268,Strangers Assume My Girlfriend Is My Nurse,Shane Burcaw,"Burcaw, Shane",,"=""""","=""""",0,4.34,Roaring Brook Press,Unknown Binding,208,2019,2019,,2019/11/04,to-read,to-read (#17),to-read,,,,0,0
5883777,Holy Bible: English Standard Version (ESV),Anonymous,"Anonymous, Anonymous",,"=""1433502976""","=""9781433502972""",0,4.59,Good News Publishers/Crossway Books,Kindle Edition,1243,2007,,,2019/11/04,currently-reading,currently-reading (#1),currently-reading,,,,1,0
25802615,Unashamed,Lecrae Moore,"Moore, Lecrae",,"=""143368912X""","=""9781433689123""",0,4.38,B&H Books,Hardcover,256,2016,2016,,2019/11/03,to-read,to-read (#16),to-read,,,,0,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",0,4.06,Dell Publishing,Paperback,303,1999,1973,,2019/10/29,to-read,to-read (#15),to-read,,,,0,0
13147230,"The Long Earth (The Long Earth, #1)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""0062067753""","=""9780062067753""",4,3.78,HarperCollins Harper,Hardcover,336,2012,2012,2019/09/08,2013/06/11,,,read,,,,1,0
41568524,The Dragon's Blade Trilogy (The Dragon's Blade #1-3),Michael R.  Miller,"Miller, Michael R.",,"=""""","=""""",0,4.21,Michael R. Miller,ebook,1520,2018,,,2018/11/15,to-read,to-read (#14),to-read,,,,0,0
76778,The Martian Chronicles,Ray Bradbury,"Bradbury, Ray",Michael Whelan,"=""0553278223""","=""9780553278224""",0,4.16,Bantam/Spectra,Mass Market Paperback,182,1984,1950,,2018/09/12,to-read,to-read (#13),to-read,,,,0,0
9275658,"Legend (Legend, #1)",Marie Lu,"Lu, Marie",,"=""""","=""""",0,4.15,Putnam Juvenile,Hardcover,305,2011,2011,,2018/09/12,to-read,to-read (#12),to-read,,,,0,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",0,4.12,Ember,Paperback,208,2006,1993,,2018/09/12,to-read,to-read (#11),to-read,,,,0,0
3220405,"Ender in Exile (Ender's Saga, #5)",Orson Scott Card,"Card, Orson Scott",,"=""0765304961""","=""9780765304964""",4,3.92,Tor Books,Hardcover,369,2008,2008,,2012/05/11,,,read,,,,1,0
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.23,Broad Reach Publishing,Paperback,509,2012,2012,,2018/09/12,to-read,to-read (#10),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.42,Ballantine Books,Hardcover,384,2014,2011,,2018/09/12,to-read,to-read (#9),to-read,,,,0,0
